country_code,product_line_code,platform_code,content_cnt,negative_cnt,positive_cnt,top_theme,top_competitor,last_update_time,persona_identity,persona_media,persona_brand,persona_competitor
CN,unknown,unknown,1,0,1,pump_modes,新贝,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中国母婴用户极度依赖中文内容生态，决策路径通常是种草->搜索->妈妈群/评论区验证->成交。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中国母婴用户极度依赖中文内容生态，决策路径通常是种草->搜索->妈妈群/评论区验证->成交。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中国母婴用户极度依赖中文内容生态，决策路径通常是种草->搜索->妈妈群/评论区验证->成交。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Pigeon, 贝亲；本土/其他（VOC提及候选）：新贝, 小白熊, 新贝8782, 新贝双边吸奶器, 新贝8775PP 等, 吸奶器选购原则（泛品牌）, 多款热门机型（文中展开）, 好孩子"
DK,unknown,youtube,1,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 丹麦父母偏好高可信、低夸张的实用内容，对官方健康信息和社区经验并重。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 丹麦父母偏好高可信、低夸张的实用内容，对官方健康信息和社区经验并重。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 丹麦父母偏好高可信、低夸张的实用内容，对官方健康信息和社区经验并重。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra, Philips；本土/其他（VOC提及候选）：卫生, 频率）, side 结果为准"
UZ,unknown,irecommendru,2,0,2,general,Medela,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, PhilipsPhilips Avent, Philips Avent；本土/其他（VOC提及候选）：YUAAN 555（PDP 卖家名, 见页面）, BreastMilkBasics（频道）, review, hands-free 语境, wearable pump, 本地妈妈群语境, 品牌与型号待具体帖文复核"
BG,unknown,emagbg,2,0,0,nipple_pain,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Philips Philips Avent, Philips, Medela, Lansinoh, Philips Avent SCF395, Philips Essential SCF323, Medela Swing Maxi；本土/其他（VOC提及候选）：помпа за кърма, BabyOno 等 listing 线索, WHO, public health, електрическа vs ръчна"
BG,unknown,youtube_bg,1,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Philips Philips Avent, Philips, Medela, Lansinoh, Philips Avent SCF395, Philips Essential SCF323, Medela Swing Maxi；本土/其他（VOC提及候选）：помпа за кърма, BabyOno 等 listing 线索, WHO, public health, електрическа vs ръчна"
HR,unknown,roda_forum,3,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 中东欧与长尾欧洲市场本地垂类媒体较分散，妈妈用户常同时使用全球母婴内容站和本地社媒群组完成决策。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Philips Avent, Avent, Lansinoh；本土/其他（VOC提及候选）：多数群组需登录）, elektricne, 混合结果（电商, 媒体, forum, brand）"
CA,unknown,mamanpourlavie,1,0,0,pump_modes,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra；本土/其他（VOC提及候选）：tire-lait, breast pump, 电动泵, 吸奶器与喂养配件（以类目列表为准）, 以西海岸门店, 线上列表为准"
CA,breast_pump,mamanpourlavie_forum,3,0,0,general,,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra；本土/其他（VOC提及候选）：tire-lait, breast pump, 电动泵, 吸奶器与喂养配件（以类目列表为准）, 以西海岸门店, 线上列表为准"
CA,breast_pump,amazonca,19,2,6,milk_output,Medela,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra；本土/其他（VOC提及候选）：tire-lait, breast pump, 电动泵, 吸奶器与喂养配件（以类目列表为准）, 以西海岸门店, 线上列表为准"
CA,unknown,amazonca,10,0,7,general,Medela,,以孕晚期到产后12个月的妈妈为主，典型场景是母乳喂养、背奶和职场返岗；家庭中通常由妈妈主导选购，伴侣会参与价格与口碑对比；更关注吸力舒适度、静音、便携和清洗便利性。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏好真实使用演示、吸奶效率对比、配件清洗教程和背奶场景短视频；会主动搜索泌乳顾问、月嫂或KOL的经验分享；对“同泵不同罩杯/不同模式”的细节测评更敏感。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,偏爱有医疗/母婴背书、使用门槛低、配件齐全且售后明确的品牌；对安全材质、吸乳体验和噪音控制容忍度低；更相信长期口碑、专家建议和妈妈真实长评。 加拿大家庭通常同时消费英语与法语育儿内容，重视真实经验与权威建议结合。,"【VOC聚合·待业务审核】国际（VOC提及候选）：Medela, Spectra；本土/其他（VOC提及候选）：tire-lait, breast pump, 电动泵, 吸奶器与喂养配件（以类目列表为准）, 以西海岸门店, 线上列表为准"
